,id,degreeType,major,earlyCareerMedianPay,midCareerMedianPay,fiveToTenYearMedianPay,tenToTwentyYearMedianPay,twentyPlusYearMedianPay,percentHighMeaning,year,url,rank,tie
705,4308,Bachelors,Exercise & Sports Science,42600,65100,56200.0,64300.0,67400.0,0.7,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Exercise_%26_Sports_Science/Salary,705,True
706,4309,Bachelors,General Studies,43600,65100,54900.0,61300.0,78000.0,0.52,2021,/research/US/Degree=Bachelor%27s_Degree%2C_General_Studies/Salary,705,True
707,4310,Bachelors,Justice Studies,45300,65100,57700.0,61300.0,75500.0,0.5,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Justice_Studies/Salary,705,True
708,4311,Bachelors,Video Production,42800,65100,53700.0,63800.0,,0.33,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Video_Production/Salary,705,True
709,4312,Bachelors,Graphic Arts,42700,64900,54800.0,60300.0,74500.0,0.41,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Graphic_Arts/Salary,710,True
710,4314,Bachelors,Physical Education Teaching,42200,64900,47900.0,58000.0,73500.0,0.69,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Physical_Education_Teaching/Salary,710,True
711,4315,Bachelors,Health Services Management,41600,64800,57900.0,64800.0,67800.0,0.83,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Health_Services_Management/Salary,712,True
712,4316,Bachelors,Physical Education & Exercise Science,44100,64800,50300.0,64100.0,66700.0,0.72,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Physical_Education_%26_Exercise_Science/Salary,712,True
713,4325,Bachelors,Drawing,37400,64800,48500.0,66900.0,,0.39,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Drawing/Salary,712,True
714,4317,Bachelors,Exercise Science,41400,64700,50500.0,60500.0,72600.0,0.73,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Exercise_Science/Salary,715,False
715,4318,Bachelors,Printmaking,38400,64300,48300.0,64300.0,67500.0,0.4,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Printmaking/Salary,716,True
716,4319,Bachelors,Sports Administration,43300,64300,53500.0,59100.0,,0.47,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Sports_Administration/Salary,716,True
717,4320,Bachelors,Theology,42800,64300,52900.0,60400.0,70100.0,0.68,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Theology/Salary,716,True
718,4321,Bachelors,Interior Design & Merchandising,43700,64200,52500.0,62800.0,73700.0,0.37,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Interior_Design_%26_Merchandising/Salary,719,True
719,4322,Bachelors,Recreation & Leisure Studies,40300,64200,53300.0,61300.0,72700.0,0.6,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Recreation_%26_Leisure_Studies/Salary,719,True
720,4323,Bachelors,Human Development,43700,64100,58800.0,63100.0,66400.0,0.64,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Human_Development/Salary,721,True
